,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
212644,138942.0,-2.356348172,1.746360464,-6.374623621,1.772205446,-3.439293796,1.457811065,-0.36257708,1.443790916,-1.927358861,-6.564659262,2.450752159,-5.694074283,-1.155469085,-7.132150639,-0.05962781,-4.596576583,-5.522088054,-3.529065598,-0.663370801,0.194809815,0.857941843,0.621203387,0.964816561,-0.619437276,-1.732612752,0.108361135,1.130828164,0.415702789,727.91,1
15703,27137.0,1.270287113,-1.569173689,0.562749381,-1.401598535,-1.691865484,-0.145016512,-1.222858521,-0.077939945,-1.491055385,1.324497441,-1.184689699,-0.93159826,1.194611652,-0.690595123,0.982462294,0.247874502,-0.006275345,0.570791301,-0.181479389,0.024389181,-0.108578118,-0.209827265,-0.144739205,-0.452456972,0.24445967,-0.184683329,0.03926959,0.050859194,152.65,0
145554,87045.0,1.844268514,-0.980355286,-1.062453815,-0.886024359,-0.370520088,-0.117717173,-0.422667932,-0.119700196,1.407581339,-0.476935656,-1.162721392,0.758789222,1.532546833,-0.329603119,1.16084894,0.443016982,-0.871480324,0.23808674,0.311595582,0.248249582,0.220341413,0.52570182,-0.012584433,0.142711234,-0.231200625,0.696570521,-0.062127753,-0.025768553,146.0,0
238366,149640.0,0.754315926,2.379821852,-5.137274493,3.818391722,0.043202652,-1.285451374,-1.766683621,0.756710662,-1.765722098,-3.263006726,3.592796832,-2.772348806,-0.074533654,-6.281093649,0.165978009,-2.679171246,-1.385556529,0.249056749,2.353452693,0.369662962,0.397057601,0.141165218,0.171984535,0.394273776,-0.444641837,-0.263189064,0.30470295,-0.044362275,2.0,1
201601,133958.0,0.523819919,1.531707857,-4.176390134,3.584614831,-1.023954033,-0.502471058,-1.891965557,0.878416852,-1.541942151,-2.64940583,3.211633653,-2.587499314,0.257070951,-4.683806432,0.912636545,-2.695789729,-3.035165847,0.096814869,2.06569197,0.621803835,0.851859435,1.176926955,0.453553281,0.485211207,-0.500686839,-0.10828411,0.269476549,-0.063245464,130.21,1
77180,56927.0,0.635718383,-1.306020296,0.699701943,0.222070592,-1.050736166,0.693785599,-0.484429145,0.289268797,0.925717722,-0.451922157,0.844713625,1.279089252,0.025324143,-0.300175513,-0.699497185,-0.08791944,0.057919306,-0.437519052,0.435431736,0.456166773,-0.014739901,-0.382269058,-0.177587578,-0.206374047,-0.018499219,0.946269497,-0.071321645,0.043829822,273.98,0
172787,121238.0,-2.628921995,2.275636371,-3.745369349,1.226948197,-1.132966495,-1.2563531,-1.752419849,0.281736387,-1.792342972,-4.820779414,4.176097623,-4.61900988,0.742689542,-7.636962888,-0.197887605,-4.140395667,-7.604714832,-1.524505397,1.271321931,0.133106475,0.870729582,1.269472789,-0.265494008,-0.480548611,0.169665131,0.096081057,0.070036273,0.063768365,144.62,1
187276,127463.0,-11.73264964,-5.571657794,-6.692964511,1.753141466,0.583679831,1.1068165,5.398593642,-3.356352356,5.03146133,5.193795074,3.527238517,-0.556252102,0.182918547,-6.066479372,2.75809138,0.585456552,1.252735348,-0.354889729,0.586067859,-8.171635592,-3.518914517,1.284303091,1.465411398,-1.591630582,1.066890984,-0.481869882,-3.237294747,5.665832869,513.46,0
17480,28755.0,-30.55238004,16.71338924,-31.10368482,6.534983864,-22.10553152,-4.977691964,-20.37151359,20.00720837,-3.565737791,-7.731071441,3.829427395,-5.314332276,1.44693028,-4.579263728,-0.14229936,-4.997848304,-10.96141036,-4.641481959,0.56705628,1.733643994,1.816520171,-2.288685505,-1.460544499,0.183179483,2.208209178,-0.208823971,1.232636295,0.356660011,99.99,1
168972,119464.0,-0.402672501,0.75877159,-3.530115184,0.500280967,0.248258785,-1.683529883,2.844086586,-0.312152637,-0.562379307,-1.556273971,-0.591132169,-0.705577339,-0.913523307,-0.986337275,0.028761535,-0.534857783,2.011735402,1.13460043,0.231195585,0.667848002,0.6392726,1.452610441,0.795124644,-0.148464172,-0.894577106,-0.411755836,0.368723691,0.417550889,384.91,0
206317,136162.0,-1.13503919,-0.235702545,0.464673913,0.059866951,-0.124491033,0.756939196,-1.126355711,0.613377617,-1.390391365,1.175127193,-0.049344165,0.364843629,1.151841213,0.171801947,1.042543832,-1.613342918,0.293822297,2.097950446,2.581740793,-0.192910081,-0.573830172,-1.107075016,-0.248737605,-0.115573497,-0.998513616,0.660240249,0.234553646,-0.062822086,29.98,0
208162,136997.0,1.963917764,-0.131718528,-0.888165013,0.259542218,-0.001107683,-0.498021608,-0.042392974,-0.097297059,0.176874762,0.257836049,0.948224177,1.222449254,0.645516047,0.427293088,0.142049851,0.642198683,-0.978241898,-0.268586866,0.281974465,-0.110982171,-0.394307003,-1.202583615,0.456351548,-0.51748167,-0.640612848,-0.268896399,-0.047347747,-0.052698069,29.0,0
262355,160435.0,-0.503039314,0.674788142,2.011050034,-0.6031713,-0.062320287,-0.774383681,0.743141488,-0.291694622,0.465220829,-0.72037781,-0.503413625,0.291615423,0.131493645,-0.398733641,0.223388727,-0.066734914,-0.587228216,-0.239682362,-0.323853038,-0.078823846,-0.119733807,-0.145819729,-0.047855173,0.423989067,-0.422653363,-0.699026418,-0.141738772,-0.063073981,5.95,0
45203,42247.0,-2.52401157,2.098151867,-4.94607521,6.45658841,3.173921377,-3.058806055,-0.184709665,-0.390419987,-3.649811799,-4.077585409,4.389213503,-5.849558007,-0.750964375,-11.58389839,0.838750053,-1.461029247,0.635694233,0.390150149,-1.063027616,-0.162797482,0.027934968,0.220366441,0.976347942,-0.290539415,1.161001791,0.663953624,0.456022723,-0.405682085,1.0,1
128277,78658.0,-0.442290324,0.583210414,1.093364908,-1.378804529,0.051001884,-0.732599146,0.60024312,0.090162336,-0.173790903,-0.457211816,0.818415384,0.165359976,-0.787604075,0.357943009,-0.204675177,0.821456138,-0.963551045,0.253929822,-0.298301452,0.024654119,-0.038247947,-0.164248413,-0.064328855,0.032658689,-0.213667526,0.771010416,0.169747424,0.074251884,20.0,0
86728,61369.0,-0.484405921,0.019645848,0.35517828,-3.0045953,2.49773472,3.070679815,0.143751362,0.603145741,-1.651895562,0.108553182,-0.026641531,-1.081307292,-0.079103552,-0.20780584,0.242700174,1.443399563,-0.49463758,-1.418381257,0.686059681,0.29640765,-0.335209025,-1.227610639,-0.145640899,0.941392761,0.351199372,-0.737863971,-0.156145992,-0.167823064,8.9,0
22516,32285.0,1.212889431,0.168675311,0.194015971,1.278646024,0.03801565,0.078825795,0.003575742,0.055041961,0.427868633,-0.100788374,-1.096581145,0.008219761,-0.717526939,0.168284406,0.014503171,-0.547722648,0.121069111,-0.735282844,-0.173295039,-0.232165349,-0.146498285,-0.198407699,-0.109908481,-0.436834883,0.709247818,-0.278261565,0.036263873,0.00817796,1.3,0
2401,1959.0,-1.411783564,-0.644732834,2.029215018,-0.3619676,-0.698192294,0.642439048,0.75460028,0.24231737,-1.675756923,-0.12561206,0.85943271,0.615062005,0.431848783,-0.157336063,-0.832865699,-1.370122953,-0.267248868,1.428767719,-1.692677845,0.110670271,-0.06848873,-0.216640658,0.395315672,-0.058139672,0.485601314,-0.416701854,0.000849514,0.087316445,265.38,0
23245,32654.0,0.761355022,-1.442515815,0.244755955,0.65092082,-1.167122599,0.179131294,-0.368764895,-0.045469114,-0.374720733,0.56391333,-1.72513358,-0.410375081,0.170428563,-0.183887537,0.444299324,-1.150843735,-0.340932199,1.795375876,-0.893882931,0.089654959,-0.115430108,-0.397604724,-0.422860938,-0.456154758,0.514102101,-0.202427536,0.016862526,0.078605737,316.0,0
233577,147618.0,0.175869676,1.461998083,0.789853321,2.93134767,1.313853585,-0.283866902,1.626951202,-0.697225864,-1.597301497,1.56710318,-1.059950256,-0.604633551,0.504063396,-0.180595448,-0.607551989,0.479032332,-1.133173352,-0.128272108,-1.436857575,-0.049647503,0.321425629,1.260769443,-0.154531243,0.057061827,-1.04240855,-0.071128992,-0.216444081,-0.182002641,9.17,0
219386,141713.0,-1.848762993,-0.007657171,-0.202173411,1.335594656,1.110281782,-1.192220947,1.29212473,-1.215713433,0.899029271,1.479843941,0.011191315,-1.295174358,-0.878523335,-1.585170115,2.571486066,-1.030086456,1.066358443,0.977869981,2.438268339,-0.382396802,-0.207227604,1.187065951,0.322147779,-0.002026264,-0.128720438,0.210834491,-0.570074235,0.06986625,30.5,0
184379,126219.0,-1.141558937,1.927650038,-3.905356149,-0.073942594,-0.044857819,-1.756998959,-1.217416499,0.364563279,-2.770147747,-3.216187718,1.286749257,-3.272704585,1.042215623,-5.748943252,-0.668136527,-3.865975683,-2.70505213,-0.103907181,-0.716811425,-0.25058294,0.102081332,-0.531495912,-0.328740974,0.39309961,0.568434632,0.786604529,-0.146101644,0.076211489,25.0,1
19142,30046.0,-1.000409221,-0.145367656,1.379168841,-1.660170349,0.561117364,-0.873420179,0.368499533,-0.002605461,-1.785812277,-0.140522341,0.238885586,-0.821693064,-0.445991752,0.136065152,0.396839664,0.183381514,0.914338753,-2.455117925,-0.670034962,0.139142691,0.362067248,0.76581758,-0.225319856,0.113781606,0.627569916,-0.123977591,-0.003221447,0.048996046,25.0,0
228701,145617.0,1.703403363,-0.484058762,-2.812432631,-0.12982268,1.38999339,0.193629572,0.918385379,-0.157933201,-0.222881323,-0.029493195,1.410623098,1.365779942,0.249075507,1.070073747,0.005534138,-1.663996037,0.428806963,-1.473815038,-0.576766582,0.003981572,0.493196608,1.406511628,-0.309907464,-1.294481232,0.502648159,0.543519881,-0.078713244,-0.088084063,156.0,0
31928,36566.0,-0.88923675,0.662559146,1.434710784,-0.370863811,0.113262611,-1.081648489,1.243490899,-0.140628025,-0.575739802,-0.79734966,-0.799977384,-0.999201079,-1.670226643,0.598868855,0.430520577,0.21225213,-0.392642927,-0.156165627,-0.543983425,8.56e-07,0.027772535,-0.2288182,-0.16082301,0.353319035,0.551726999,0.296568043,-0.073769874,0.051946812,79.42,0
211733,138543.0,-0.44648531,-0.201568616,1.133545295,-1.214847418,-0.560912787,0.049306056,0.545533641,0.039458222,-1.495614921,0.149225743,0.198468577,-0.156851911,-0.291381514,0.128969575,-0.463379979,-1.256245989,-0.298877001,1.777918407,0.021793046,-0.157534331,-0.339254747,-0.743522694,-0.009401456,-0.368224447,0.489879059,0.725136455,-0.135880918,-0.070463563,128.81,0
274438,166009.0,0.056911473,1.486471778,0.638137628,4.394876306,0.907031232,0.330241183,0.862164665,0.028529696,-2.400482175,1.74233657,0.334677488,-0.851333183,-1.515968799,1.012932253,-0.424264991,-0.573090623,0.29727697,0.603762467,1.432734517,0.046787663,0.42424018,1.302401808,-0.346806796,0.039287857,-0.272390083,0.666625732,0.173811407,0.169250696,3.03,0
229730,146026.0,1.89403629,1.905806043,-3.515730077,4.508913151,2.044466245,-1.420467618,1.057480446,-0.281157348,-1.832603814,-0.628463195,2.220794914,-0.741087888,-0.763719378,-4.942612416,-1.37829062,2.244215779,3.702065291,2.256811532,-1.950060332,-0.160163479,-0.144713036,-0.310108279,-0.101530027,-0.414960172,0.37659685,0.150777699,-0.013711578,0.048083659,2.22,1
213092,139107.0,-4.6665001,-3.952320086,0.206093982,5.153524618,5.229468882,0.939039595,-0.63503286,-0.704506474,-0.2347857,4.031435051,0.983646779,-0.578913743,-0.199814214,-0.729706928,1.266713456,-0.842769191,-0.102946074,-0.597597213,1.060154226,-2.28613708,-0.664263126,1.821421635,0.113562782,-0.759673347,-0.502304099,0.630638836,-0.513880223,0.72952585,22.47,1
180860,124726.0,-0.299942777,1.205235215,-0.073018763,-0.569074062,0.237592145,-1.101372523,0.771381949,0.138967274,-0.431989211,-0.682226102,-0.879733716,1.05520385,1.547998468,0.133755984,-0.59815874,-0.020872709,-0.346603651,-0.867467411,-0.076870252,-0.038376552,-0.201644305,-0.474314022,0.114676183,0.007269562,-0.404694138,0.139450779,0.129174424,0.03745164,9.99,0
45456,42355.0,0.905488924,-0.986106501,1.085145841,-0.039536001,-1.671009458,-0.573278302,-0.740295456,0.057111337,1.03376652,-0.284605345,-0.502926211,-0.436467002,-0.766882419,-0.026827883,1.826870278,0.98312277,-0.502421305,0.356190401,-0.340193048,0.26209645,0.27438468,0.391644479,-0.126108503,0.47583591,-0.110891782,1.478602683,-0.096172394,0.04431217,179.4,0
104613,69150.0,1.173944365,-1.587513002,0.628452732,-1.247279355,-1.797913148,-0.281395736,-1.137090882,-0.04033075,-1.618111229,1.314831715,-0.290149217,-0.810970463,0.602915975,-0.438662636,1.109467505,-0.423357163,0.655699621,-0.113156965,-0.846643077,-0.053625968,0.055456184,0.278840453,-0.099160141,0.086505499,0.214595389,-0.08961015,0.040876606,0.049353916,158.0,0
93224,64308.0,0.209490401,-2.029458927,0.701449024,0.507982128,-1.863678714,-0.11377772,-0.216539544,0.114607519,0.938460258,-0.414382015,1.042532208,0.608589962,-1.139771406,0.105004891,-0.229451549,0.417922005,-0.168798759,0.282294286,0.295274953,0.865489995,0.231276911,-0.351312446,-0.346030728,0.60458346,-0.16565119,0.911893172,-0.138096059,0.091253969,500.0,0
127899,78512.0,1.257176465,0.349861672,0.304933879,0.69395673,-0.379005585,-1.075590923,0.080318737,-0.198872643,0.045479368,-0.279928754,-0.080522232,0.189570278,0.140337965,-0.27059919,1.103247699,0.482416683,-0.000334424,-0.288868612,-0.197742157,-0.087247364,-0.288876181,-0.836622447,0.130838365,0.343004708,0.21336209,0.094742167,-0.023537576,0.030554857,1.29,0
113142,72952.0,0.504791836,-0.797288367,-0.303937396,1.55387318,-0.513572534,-0.911171208,0.884843323,-0.37205413,-0.214639421,-0.096212801,-0.424204997,0.098174445,-0.149763097,0.594842703,0.806267773,0.020929982,-0.351996053,-0.210556625,-0.457098124,0.624494498,0.201538302,-0.267767579,-0.43090748,0.389434721,0.573732631,-0.382240994,-0.072266707,0.083725841,391.0,0
143188,85181.0,-3.003459422,2.09615031,-0.487030348,3.06945316,-1.774328684,0.25180421,-4.328776495,-2.425478144,-0.985222034,-3.995210734,1.880601553,-2.325179128,0.636458663,-5.417499345,-0.262909465,-3.818085664,-3.700707026,-1.991412078,0.779950535,0.692537381,0.163966694,1.245648321,-0.26924134,0.537102119,-0.220756683,-0.059554773,0.460709677,-0.033550607,2.0,1
217301,140844.0,2.085898541,0.182478463,-1.76042271,0.377231796,0.526847389,-0.782231789,0.209551496,-0.24925642,0.444377814,-0.389741039,-0.639687079,0.306873657,0.490019164,-0.932997858,0.172972114,0.343344065,0.393909589,-0.305518618,0.109032379,-0.124931115,-0.370188561,-0.940937264,0.31551244,0.389833166,-0.223852916,0.179989449,-0.060339308,-0.03114367,1.98,0
69821,53597.0,-2.467381585,1.479588521,0.264890253,0.37053744,-1.153687217,-0.509121337,-0.628789152,1.396818473,0.16357889,-0.425214247,-0.914934813,0.622519456,-0.451855025,0.598518386,-0.420083128,-0.511469491,0.985295588,-0.811222896,-0.194424026,-0.233576258,0.050300912,0.354216279,0.183318526,0.456531762,-0.071837227,0.387189315,0.216489694,-0.077371713,1.0,0
249480,154430.0,-1.126336984,0.097851826,1.730310973,-1.274929008,1.015452813,0.198092884,0.037490392,0.447089297,0.231831233,-1.078442192,-0.168161942,-0.250073229,-1.520941156,0.282217879,-0.370476649,0.82498274,-1.165238276,0.831781386,-0.061143817,-0.060724828,-0.157247605,-0.747314344,-0.238099069,0.000422609,0.486653023,-0.592145343,0.008509675,0.06149131,1.0,0
23773,32908.0,1.284367484,-0.468280014,0.166111566,-0.706953677,-0.842263311,-1.076311608,-0.170694109,-0.217809906,-1.378419134,0.775867422,1.768903221,0.335153593,0.172202069,0.249948976,-0.214485156,1.068499043,0.180798397,-1.500244317,0.993595183,0.172584336,-0.10941022,-0.58768008,0.099913552,0.523647219,0.278889575,-0.5656338,-0.027421728,0.014580779,58.0,0
16829,28202.0,0.002522893,0.406202566,0.786671667,-1.23813361,-0.098629393,-0.041628353,-0.013063849,-0.063431317,-1.140665458,0.704858126,-1.41197165,-0.93252109,1.107495488,-0.522769441,0.94102135,1.247752763,-0.098780398,-0.987192311,1.862018379,0.387431222,-0.115043732,-0.319546459,-0.089564949,-1.014412081,-0.303365387,-0.379510697,0.209376732,0.112835672,12.0,0
131336,79563.0,-0.346744066,0.336392029,0.206612528,-1.642108608,-0.482558226,-0.994033859,0.200316347,0.159691785,-1.477905072,-0.057308925,-1.335235724,-0.069973754,0.9419792,0.211471542,-0.06354269,-0.920616477,-0.405295961,1.11546982,-1.255951397,-0.547847622,-0.160234906,-0.166409777,0.210072803,-0.087977269,-1.098854583,0.71342951,0.018370368,0.147166732,40.5,0
92381,63906.0,-2.824409269,2.112444774,-0.274557134,0.17390926,-1.249194476,-1.422742215,-0.28534955,1.141843889,-0.113781772,0.134102852,-0.196064218,0.719735147,0.598120582,0.162234521,0.834496691,0.596605248,0.559916843,-0.239519038,-0.339529857,0.233604759,-0.249956934,-0.749558402,0.235730254,0.663593712,0.083566383,0.060791935,0.185791687,0.124404155,8.99,0
211026,138225.0,1.846510949,-1.149459884,-1.54413084,-0.34820163,-0.488436668,-0.53966273,-0.155480168,-0.248427034,-0.547510883,0.88230153,0.244184955,0.598549699,0.411435267,0.397348432,-0.293533044,-1.447804744,-0.596754374,2.020560784,-0.556992638,-0.289242734,0.068493829,0.487029876,-0.186387629,-0.471919761,0.195370747,-0.026304699,-0.021260091,-0.040324549,167.0,0
137705,82289.0,-1.464896548,1.975527527,-1.077144539,2.81919064,0.069850228,-0.78904363,-1.196101449,0.673654375,-1.363723876,-2.932895258,0.30136883,-3.246141437,-0.465640148,-5.429361879,-1.304982916,-0.953623443,-2.727343001,-0.636436919,-0.927124073,0.0489688,0.174099466,-0.27250529,-0.03154945,-0.40616593,0.15776898,-0.10439292,0.07379556,-0.041570252,1.0,1
111751,72355.0,1.147194962,-0.6555213,0.715392513,0.032132195,-0.995697659,0.011841414,-0.706190719,0.150851104,1.331195323,-0.381616337,-1.609365418,-0.483869295,-1.024775933,-0.235362817,0.503149171,0.474005547,-0.306187597,0.050541057,0.535691803,0.018267361,-0.14760328,-0.439058862,-0.086399103,-0.397740684,0.157580948,1.03904475,-0.055930814,0.016801836,74.95,0
42856,41273.0,-11.68221489,6.332882093,-13.29710925,7.690771915,-10.88989052,-2.792360038,-12.56178258,7.28712221,-7.570322409,-12.83573768,5.804707852,-12.15623949,1.184984663,-10.46867709,-0.416743197,-10.99979235,-22.60886819,-9.498745921,2.102735407,-1.009319938,2.133456284,-1.271508967,-0.035303887,0.615053695,0.349023768,-0.428922797,-0.694935387,-0.818970429,173.07,1
52085,45264.0,1.208018658,0.306459768,0.277457172,0.644566608,-0.176413866,-0.599028602,0.021006995,-0.073001564,0.009584021,-0.331711956,0.176315501,0.386547109,0.331304867,-0.283381496,1.332543377,0.180617845,0.26600911,-0.76282139,-0.558443785,-0.099012644,-0.256915879,-0.706763103,0.154976801,0.03747385,0.146510172,0.123413253,-0.006285472,0.028148951,4.49,0
100623,67571.0,-0.758468653,-0.045410278,-0.16843829,-1.313274814,-1.901762532,0.739433415,3.071892046,-0.483422244,0.618202762,-1.769059721,-0.651414014,-0.005423291,-0.517194341,0.21746976,0.883558824,-1.173977649,0.24334711,-0.342300728,0.687056202,-0.032499899,0.042619457,0.397223782,0.072228865,-0.242275997,0.56091647,-0.540954584,0.150606446,-0.117140115,549.06,1
30442,35926.0,-3.896582592,4.518354703,-4.45402724,5.547453347,-4.121458573,-1.163406658,-6.805053053,2.928356254,-4.917129599,-6.600460622,3.367845608,-7.88897752,1.682603467,-7.628651916,0.779245996,-7.533404329,-14.06462394,-4.960108633,2.525784924,0.757286727,1.69104203,0.920020577,-0.151103893,0.011006878,0.080303267,0.412191351,0.635788871,0.50104955,4.56,1
77539,57094.0,-0.864123098,0.364690492,3.154390767,0.790456526,-0.299229765,0.16060742,0.213171349,-0.281065554,0.393553106,0.074999038,0.230526694,0.451939825,0.518822092,-0.996108892,0.845396441,-0.991847453,0.457010756,-0.716141553,0.618015132,0.165256593,-0.05388756,0.392306622,-0.255458272,0.677424574,-0.160835529,0.412150256,-0.471502182,-0.326198431,19.9,0
108258,70828.0,0.196706752,1.189757286,0.704882218,2.891387773,0.045555369,1.24573046,-1.1987142,-2.421616411,-1.232088646,0.324238886,-1.27393508,-0.868686295,-1.181944655,1.027584172,1.688132345,0.256215978,0.12060834,-0.052346017,0.329826632,0.646616407,-1.328131789,0.189310618,-0.005524184,-0.814707739,0.40092428,0.286281379,0.135214946,0.257314769,0.76,1
172752,121227.0,-0.824174068,0.239648374,1.421348416,1.308708283,0.544775661,-0.035075039,0.826603694,-0.338466233,0.337967185,-0.052224453,-1.040662644,0.894026459,1.067911427,-0.834139262,-1.010309181,-1.061559903,0.112550693,-0.865466584,1.221050212,-0.229256599,-0.515076868,-0.680015796,0.585974078,-0.047330609,-0.700777782,-1.033403212,-0.002063781,-0.0877866,39.26,0
16415,27784.0,0.288028928,0.965681439,-1.4594952,1.921863002,-1.91241403,-1.1302819,-2.81426266,0.648663225,-0.69526264,-3.465689086,2.351619106,-3.826705319,-0.767569849,-4.852866915,1.664863004,-2.61736133,-4.835558306,-1.921751601,-0.385884175,0.330916894,0.603127128,0.380690182,-0.064125176,0.271380101,0.337219535,0.626155869,0.565124826,0.305925255,23.36,1
101126,67735.0,0.861327483,-0.197047307,0.364591541,1.36644144,0.208062408,1.207452867,-0.114672711,0.426728554,0.305102993,-0.293732314,0.42839017,0.72412204,-0.618350108,0.270800051,0.770192497,-1.765163318,1.332673797,-2.518839378,-1.703633759,-0.187405972,0.050118748,0.317335633,0.018187109,-0.635143681,0.338317153,-0.239784926,0.079463837,0.019343269,79.0,0
164262,116588.0,-0.339299766,1.351710497,-0.747289578,-0.230506337,0.650347998,-1.394401015,1.013266383,-0.352432496,0.329884816,-0.282789048,-0.491109743,-0.249065508,0.048348509,-1.105552073,0.7301109,0.031917867,0.46544811,0.713266247,-0.212477782,0.107425005,0.246817461,0.965357285,-0.200493045,-0.098664999,-0.28566531,-0.158332307,0.222404261,0.283556399,15.65,0
152911,97570.0,2.108019368,-0.081645007,-3.405878346,-0.86768716,3.028225878,2.746830029,0.078626705,0.414949989,1.336917354,-0.334756033,1.084763067,-2.252572819,1.343715003,2.456030028,0.058065708,-0.744977565,0.397317201,-0.392404707,-0.225683294,-0.197206316,-0.000511907,0.259272374,0.003199284,0.699274299,0.448920802,0.221940842,-0.095121481,-0.09058696,11.0,0
187843,127714.0,1.466163015,-1.286310372,-0.853600347,0.640238358,-0.724677277,-0.104108471,-0.260612629,-0.042534648,1.063317475,-0.028033483,-1.097575973,-0.071965765,-0.134789464,0.058190919,0.990791022,0.658316399,-0.744007336,0.338845613,-0.471673764,0.397436258,0.339534913,0.414001093,-0.059191107,0.615115177,-0.360611698,0.303572845,-0.07535699,0.010401129,295.0,0
172372,121074.0,-0.640639812,-0.405903953,1.510503984,-2.932115537,-0.282166323,-0.883012697,0.052154563,-0.189980203,-2.430888689,0.393233736,-1.080522811,-0.785096841,1.061081448,-0.687185304,-0.84933966,-0.548425468,0.301597748,-0.224718487,-0.724602739,-0.255386992,-0.140948499,-0.0532337,-0.368984604,-0.082292267,0.74293226,-0.116636433,0.016715423,0.048274466,15.0,0
8069,11008.0,1.144825204,-0.114253197,0.952330085,0.275255309,-0.890217903,-0.615757582,-0.501614557,-0.07669154,1.452939815,-0.363744872,2.530619993,-1.585411217,1.721275126,1.679532128,-0.137378152,0.625268965,0.115383668,0.583515302,-0.198087573,-0.026247648,0.013037764,0.210256146,-0.023176944,0.567710708,0.142978012,0.997993346,-0.097075781,0.001928589,39.0,0
